date,home_team,away_team,home_goals,away_goals
2023-12-09,Portimonense SC,FC Famalicão,1,1
2023-12-09,Vitória SC,Sporting Clube de Portugal,3,2
2023-12-09,FC Porto,Casa Pia AC,3,1
2023-12-10,CF Estrela da Amadora,Boavista FC,3,1
2023-12-10,FC Arouca,Rio Ave FC,2,2
2023-12-10,GD Estoril Praia,GD Chaves,4,0
2023-12-11,Gil Vicente FC,Moreirense FC,1,1
2023-12-15,SC Farense,CF Estrela da Amadora,0,0
2023-12-16,Rio Ave FC,FC Vizela,1,1
2023-12-16,FC Arouca,Gil Vicente FC,3,0
2023-12-16,Boavista FC,Vitória SC,1,1
2023-12-17,Moreirense FC,Portimonense SC,5,2
2023-12-17,GD Chaves,Casa Pia AC,1,3
2023-12-17,FC Famalicão,GD Estoril Praia,1,1
2023-12-17,Sporting Clube de Braga,Sport Lisboa e Benfica,0,1
2023-12-18,Sporting Clube de Portugal,FC Porto,2,0
2023-12-23,FC Vizela,Moreirense FC,0,0
2023-12-23,Vitória SC,Rio Ave FC,1,0
2023-12-28,CF Estrela da Amadora,FC Arouca,1,4
2023-12-29,Sport Lisboa e Benfica,FC Famalicão,3,0
2023-12-29,FC Porto,GD Chaves,1,0
2023-12-30,GD Estoril Praia,SC Farense,4,0
2023-12-30,Gil Vicente FC,Boavista FC,1,0
2023-12-30,Casa Pia AC,Sporting Clube de Braga,1,3
2023-12-30,Portimonense SC,Sporting Clube de Portugal,1,2
2024-01-05,Sporting Clube de Portugal,GD Estoril Praia,5,1
2024-01-05,Boavista FC,FC Porto,1,1
2024-01-06,CF Estrela da Amadora,FC Vizela,1,1
2024-01-06,SC Farense,Gil Vicente FC,1,0
2024-01-06,FC Arouca,Sport Lisboa e Benfica,0,3
2024-01-06,Sporting Clube de Braga,Vitória SC,1,1
2024-01-07,Rio Ave FC,Portimonense SC,2,0
2024-01-07,FC Famalicão,GD Chaves,2,2
2024-01-08,Moreirense FC,Casa Pia AC,1,4
2024-01-12,Portimonense SC,SC Farense,1,0
2024-01-13,Casa Pia AC,FC Famalicão,0,2
2024-01-13,GD Chaves,Sporting Clube de Portugal,0,3
2024-01-13,GD Estoril Praia,Moreirense FC,1,3
2024-01-14,Gil Vicente FC,CF Estrela da Amadora,1,1
2024-01-14,Sport Lisboa e Benfica,Rio Ave FC,4,1
2024-01-14,FC Vizela,Boavista FC,1,4
2024-01-14,FC Porto,Sporting Clube de Braga,2,0
2024-01-15,Vitória SC,FC Arouca,2,1
2024-01-18,FC Famalicão,Sporting Clube de Braga,1,2
2024-01-18,FC Vizela,Sporting Clube de Portugal,2,5
2024-01-19,Sport Lisboa e Benfica,Boavista FC,2,0
2024-01-20,GD Estoril Praia,FC Arouca,1,2
2024-01-20,Casa Pia AC,SC Farense,1,3
2024-01-20,FC Porto,Moreirense FC,5,0
2024-01-21,Portimonense SC,Gil Vicente FC,0,2
2024-01-21,GD Chaves,Rio Ave FC,0,0
2024-01-21,Vitória SC,CF Estrela da Amadora,3,0
2024-01-28,Boavista FC,Portimonense SC,1,4
2024-01-28,Moreirense FC,FC Famalicão,1,0
2024-01-28,SC Farense,FC Porto,1,3
2024-01-28,FC Arouca,FC Vizela,5,0
2024-01-28,Gil Vicente FC,Vitória SC,1,0
2024-01-29,CF Estrela da Amadora,Sport Lisboa e Benfica,1,4
2024-01-29,Sporting Clube de Portugal,Casa Pia AC,8,0
2024-01-31,Rio Ave FC,GD Estoril Praia,1,1
2024-01-31,Sporting Clube de Braga,GD Chaves,1,1
2024-02-03,Portimonense SC,FC Arouca,1,2
2024-02-03,FC Porto,Rio Ave FC,0,0
2024-02-04,FC Vizela,Vitória SC,0,1
2024-02-04,GD Chaves,SC Farense,1,1
2024-02-04,Sport Lisboa e Benfica,Gil Vicente FC,3,0
2024-02-04,GD Estoril Praia,CF Estrela da Amadora,1,0
2024-02-04,Sporting Clube de Braga,Moreirense FC,1,0
2024-02-05,Casa Pia AC,Boavista FC,0,0
2024-02-09,CF Estrela da Amadora,Portimonense SC,3,0
2024-02-10,SC Farense,FC Famalicão,1,1
2024-02-10,Moreirense FC,GD Chaves,1,0
2024-02-10,Boavista FC,GD Estoril Praia,2,1
2024-02-11,Rio Ave FC,Casa Pia AC,1,0
2024-02-11,Sporting Clube de Portugal,Sporting Clube de Braga,5,0
2024-02-11,Vitória SC,Sport Lisboa e Benfica,2,2
2024-02-12,FC Arouca,FC Porto,3,2
2024-02-13,Gil Vicente FC,FC Vizela,0,1
2024-02-16,FC Famalicão,Rio Ave FC,2,1
2024-02-17,GD Chaves,Boavista FC,2,1
2024-02-17,Portimonense SC,Vitória SC,1,1
2024-02-17,FC Porto,CF Estrela da Amadora,2,0
2024-02-18,Casa Pia AC,FC Arouca,1,0
2024-02-18,Sport Lisboa e Benfica,FC Vizela,6,1
2024-02-18,GD Estoril Praia,Gil Vicente FC,1,3
2024-02-18,Sporting Clube de Braga,SC Farense,2,1
2024-02-19,Moreirense FC,Sporting Clube de Portugal,0,2
2024-02-23,FC Arouca,FC Famalicão,3,2
2024-02-24,SC Farense,Moreirense FC,0,1
2024-02-24,CF Estrela da Amadora,GD Chaves,1,1
2024-02-24,Vitória SC,Casa Pia AC,0,2
2024-02-25,FC Vizela,GD Estoril Praia,3,3
2024-02-25,Sport Lisboa e Benfica,Portimonense SC,4,0
2024-02-25,Gil Vicente FC,FC Porto,1,1
2024-02-25,Rio Ave FC,Sporting Clube de Portugal,3,3
